Key		EN	FR	DE	IT	KO	JA	JA-JP	ZH-HANS	ES
base_camp-0000|data.Name		Base Camp	Camp de Base	Basis-Lager	Campo Base	베이스 캠프	ベースキャンプ	ベースキャンプ	起点营地	Campamento Base
base_camp_2-0000|data.Name		Base Town	Ville de Base	Basis-Dorf	Città Base	베이스 타운	ベースタウン	ベースタウン	起点镇	
canyon_camp-0000|data.Name		Ravine Camp	Camp du ravin	Schlucht-Lager	Campo Crepaccio	협곡 캠프	けいこくのキャンプ	渓谷のキャンプ	峡谷营地	Campamento Desfiladero
cliff_camp-0000|data.Name		Cliff Camp	Camp de Falaise	Klippen-Lager	Campo Collina	절벽 캠프	クリーフキャンプ	クリーフキャンプ	悬崖营地	Campamento Acantilado
dev_room-0000|data.Name		Developer Room	Salle des développeurs	Entwicklerraum	Stanza Sviluppatore	개발자실	デバックルーム	デバックルーム	开发者房间	Sala del Desarrollador
end_ambush_forest-0000|data.Name		Ambush Forest Grove	Bosquet de l'embuscade	Hain im Auflauerwald			グローブ・フォレスト	グローブ・フォレスト	埋伏森林树丛	
end_moonlit_temple-0000|data.Name		Moonlit Chamber	Salle au clair de lune	Mondhelle Kammer	Camera Brillaluna	달빛의 방	つきのチャンバー	月のチャンバー	月光厅堂	Cámara Luz de Luna
end_treacherous_mountain-0000|data.Name		Treacherous Mountain Cave	Grotte de la montagne traitresse	Höhle im tückischem Gebirge		위험한 산속 동굴	キケンなどうくつ	キケンなどうくつ	奸诈山洞	
final_stop-0000|data.Name		Blizzard Camp	Camp du blizzard	Blizzard-Lager		동토 캠프	ふぶくキャンプ	吹雪くキャンプ	风雪营地	
forest_camp-0000|data.Name		Forest Camp	Camp Fôrestier	Wald-Lager	Campo Foresta	숲속 캠프	もりのキャンプ	森のキャンプ	森林营地	Campamento Bosque
garden_end-0000|data.Name		Secret Garden Grove	Bosquet du jardin secret	Geheimgarten-Hain	Radura Segreta		ヒミツのはなぞの	ヒミツの花園	秘密花园树林	Arboleda del Jardín Secreto
guild_hut-0000|data.Name		Guildmaster Hut	Hutte du maître de guilde	Gildenmeister-Hütte	Capanna del Maestro	마스터의 방	マスターのこや	マスターの小屋	公会会长之屋	Cabaña del Maestro
guild_path-0000|data.Name		Guildmaster Path	Chemin du maître de guilde	Gildenmeister-Pfad	Sentiero del Maestro		マスターのはし	マスターの橋	公会会长之径	Sendero del Maestro
guildmaster_summit-0000|data.Name		Guildmaster Summit	Sommet du maître de guilde	Gildenmeister-Gipfel	Vetta del Maestro		マスター・サミット	マスター・サミット	公会会长之巅	Cima del Maestro
luminous_spring-0000|data.Name		Luminous Spring	Source lumineuse	Leuchtende Quelle	Sorgente Luccichio	빛의 샘	しんかのいずみ	進化の泉	光之泉	Manantial Luminoso
post_office-0000|data.Name		Pelipper Post Office	Poste Bekipan	Pelipper-Post	Ufficio Postale Pelipper	패리퍼 우체국	ぺリッパーゆうびんきょく	ぺリッパー郵便局	大嘴鸥联络站	Mensajeros Pelipper
rest_stop-0000|data.Name		Cave Shelter	Grotte du refuge	Höhlenzuflucht	Rifugio Montanaro	동굴 안식처	どうくつのシェルター	洞窟のシェルター	洞穴庇护所	Cueva Refugio
test_grounds-0000|data.Name		Test Grounds	Camp de Base	Testbereich	Terreni di Prova	테스트 그라운드	てすとぉぐらんど！	てすとぐらんど！！	测试地面	Terreno de Pruebas
